,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
2718,CHEMBL3904602,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,Inactive,19952.62
2719,CHEMBL4748603,[2H][C@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O,Inactive,20000.0
2720,CHEMBL4748603,[2H][C@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O,Inactive,19952.62
2721,CHEMBL4227505,CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)ccn1,Inactive,20000.0
2722,CHEMBL4227505,CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)ccn1,Inactive,19952.62
2723,CHEMBL4739962,CC(C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,Inactive,20000.0
2724,CHEMBL4739962,CC(C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,Inactive,19952.62
2725,CHEMBL2105014,CN[C@@H](C)CC1CCCCC1,Inactive,20000.0
2726,CHEMBL2105014,CN[C@@H](C)CC1CCCCC1,Inactive,19952.62
2727,CHEMBL514215,COc1ccc(-c2c(C#N)c(C(=O)NN3CCCCC3)nn2-c2ccc(Cl)cc2Cl)cc1,Inactive,20000.0
2728,CHEMBL514215,COc1ccc(-c2c(C#N)c(C(=O)NN3CCCCC3)nn2-c2ccc(Cl)cc2Cl)cc1,Inactive,19952.62
2729,CHEMBL4468815,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,Inactive,20000.0
2730,CHEMBL4468815,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)nc(NCC3(N)COC3)c2c1,Inactive,19952.62
2731,CHEMBL228814,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,Inactive,20000.0
2732,CHEMBL228814,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,Inactive,19952.62
2733,CHEMBL282686,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,Inactive,20000.0
2734,CHEMBL282686,CCO[C@@H](Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,Inactive,19952.62
2735,CHEMBL4761057,CC(C)(C)NC(=O)c1nn(-c2ccc(F)cc2F)c2c1C1CCC2C1,Inactive,20000.0
2736,CHEMBL4761057,CC(C)(C)NC(=O)c1nn(-c2ccc(F)cc2F)c2c1C1CCC2C1,Inactive,19952.62
2737,CHEMBL4776274,COc1cc2nccc(Oc3ccc(NC(=O)c4cn(C(C)C)c(=O)n(-c5ccc(F)cc5)c4=O)cc3F)c2cc1OC,Inactive,20000.0
2738,CHEMBL4776274,COc1cc2nccc(Oc3ccc(NC(=O)c4cn(C(C)C)c(=O)n(-c5ccc(F)cc5)c4=O)cc3F)c2cc1OC,Inactive,19952.62
2739,CHEMBL2325014,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,Inactive,20000.0
2740,CHEMBL2325014,Nc1[nH]ncc1-c1cc(Cl)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,Inactive,19952.62
2741,CHEMBL3970532,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1,Inactive,20000.0
